set_name,card_name,ungraded_price
Prices for Pokemon Paldean Fates Pokemon Cards,Dondozo #126,$3.18
Prices for Pokemon Paldean Fates Pokemon Cards,Tatsugiri #127,$4.96
Prices for Pokemon Paldean Fates Pokemon Cards,Luxio #136,$5.20
Prices for Pokemon Paldean Fates Pokemon Cards,Wigglytuff #147,$4.64
Prices for Pokemon Paldean Fates Pokemon Cards,Tinkatuff #166,$5.00
Prices for Pokemon Paldean Fates Pokemon Cards,Electrode #134,$4.05
Prices for Pokemon Paldean Fates Pokemon Cards,Gholdengo #67,$0.22
Prices for Pokemon Paldean Fates Pokemon Cards,Klefki #159,$4.28
Prices for Pokemon Paldean Fates Pokemon Cards,Thundurus #139,$2.28
Prices for Pokemon Paldean Fates Pokemon Cards,Flamigo #211,$3.59
Prices for Pokemon Paldean Fates Pokemon Cards,Baxcalibur #130,$4.01
Prices for Pokemon Paldean Fates Pokemon Cards,Paldean Tauros #111,$3.25
Prices for Pokemon Paldean Fates Pokemon Cards,Dachsbun #161,$5.35
Prices for Pokemon Paldean Fates Pokemon Cards,Gloom #93,$4.56
Prices for Pokemon Paldean Fates Pokemon Cards,Oricorio #113,$2.34
Prices for Pokemon Paldean Fates Pokemon Cards,Finizen #123,$4.17
Prices for Pokemon Paldean Fates Pokemon Cards,Exeggutor #24,$0.26
Prices for Pokemon Paldean Fates Pokemon Cards,Pawmo #143,$3.04
Prices for Pokemon Paldean Fates Pokemon Cards,Kingambit #187,$3.00
Prices for Pokemon Paldean Fates Pokemon Cards,Mime Jr #157,$3.74
Prices for Pokemon Paldean Fates Pokemon Cards,Pawmot #144,$2.84
Prices for Pokemon Paldean Fates Pokemon Cards,Drifloon #155,$5.34
Prices for Pokemon Paldean Fates Pokemon Cards,Doduo #199,$3.63
Prices for Pokemon Paldean Fates Pokemon Cards,Dodrio #200,$3.25
Prices for Pokemon Paldean Fates Pokemon Cards,Toxel #140,$3.20
Prices for Pokemon Paldean Fates Pokemon Cards,Noibat #194,$4.01
Prices for Pokemon Paldean Fates Pokemon Cards,Jumpluff #98,$4.53
Prices for Pokemon Paldean Fates Pokemon Cards,Pawmi #142,$3.55
Prices for Pokemon Paldean Fates Pokemon Cards,Weavile #183,$3.31
Prices for Pokemon Paldean Fates Pokemon Cards,Palafin #124,$2.57
Prices for Pokemon Paldean Fates Pokemon Cards,Annihilape #171,$3.01
Prices for Pokemon Paldean Fates Pokemon Cards,Hoppip #96,$3.00
Prices for Pokemon Paldean Fates Pokemon Cards,Bisharp #186,$2.88
Prices for Pokemon Paldean Fates Pokemon Cards,Toxtricity #141,$2.28
Prices for Pokemon Paldean Fates Pokemon Cards,Frigibax #128,$3.42
Prices for Pokemon Paldean Fates Pokemon Cards,Paldean Tauros #120,$2.54
Prices for Pokemon Paldean Fates Pokemon Cards,Greedent #206,$2.05
Prices for Pokemon Paldean Fates Pokemon Cards,Arctibax #129,$3.25
Prices for Pokemon Paldean Fates Pokemon Cards,Wingull #203,$2.78
Prices for Pokemon Paldean Fates Pokemon Cards,Abomasnow #101,$2.32
Prices for Pokemon Paldean Fates Pokemon Cards,Snover #100,$2.60
Prices for Pokemon Paldean Fates Pokemon Cards,Revavroom #193,$2.00
Prices for Pokemon Paldean Fates Pokemon Cards,Murkrow #181,$4.00
Prices for Pokemon Paldean Fates Pokemon Cards,Wiglett #121,$2.84
Prices for Pokemon Paldean Fates Pokemon Cards,Sneasel #182,$3.24
Prices for Pokemon Paldean Fates Pokemon Cards,Cyclizar #195,$2.25
Prices for Pokemon Paldean Fates Pokemon Cards,Pelipper #204,$2.92
Prices for Pokemon Paldean Fates Pokemon Cards,Smoliv #102,$3.04
Prices for Pokemon Paldean Fates Pokemon Cards,International Tin: Charizard Ex,$79.82
Prices for Pokemon Paldean Fates Pokemon Cards,Dolliv #103,$2.74
Prices for Pokemon Paldean Fates Pokemon Cards,Skwovet #205,$2.56
Prices for Pokemon Paldean Fates Pokemon Cards,Drifblim #156,$2.83
Prices for Pokemon Paldean Fates Pokemon Cards,Xatu #26,$0.31
Prices for Pokemon Paldean Fates Pokemon Cards,Wugtrio #122,$2.46
Prices for Pokemon Paldean Fates Pokemon Cards,Armarouge #15,$0.13
Prices for Pokemon Paldean Fates Pokemon Cards,Pawniard #185,$2.17
Prices for Pokemon Paldean Fates Pokemon Cards,Wattrel #145,$3.42
Prices for Pokemon Paldean Fates Pokemon Cards,Pineco #99,$2.48
Prices for Pokemon Paldean Fates Pokemon Cards,Oinkologne #208,$3.20
Prices for Pokemon Paldean Fates Pokemon Cards,Natu #151,$2.93
Prices for Pokemon Paldean Fates Pokemon Cards,Rabsca #163,$2.28
Prices for Pokemon Paldean Fates Pokemon Cards,Arboliva #104,$2.00
Prices for Pokemon Paldean Fates Pokemon Cards,Toedscool #105,$2.49
Prices for Pokemon Paldean Fates Pokemon Cards,Capsakid #106,$2.63
Prices for Pokemon Paldean Fates Pokemon Cards,Kilowattrel #146,$2.24
Prices for Pokemon Paldean Fates Pokemon Cards,Garganacl #178,$2.60
Prices for Pokemon Paldean Fates Pokemon Cards,Mabosstiff #188,$1.99
Prices for Pokemon Paldean Fates Pokemon Cards,Paldean Tauros #172,$2.99
Prices for Pokemon Paldean Fates Pokemon Cards,Skiploom #97,$2.80
Prices for Pokemon Paldean Fates Pokemon Cards,Xatu #152,$2.77
Prices for Pokemon Paldean Fates Pokemon Cards,5-Mini Tin Set,$227.50
Prices for Pokemon Paldean Fates Pokemon Cards,Scovillain #107,$2.00
Prices for Pokemon Paldean Fates Pokemon Cards,Grafaiai #190,$2.25
Prices for Pokemon Paldean Fates Pokemon Cards,Varoom #192,$1.90
Prices for Pokemon Paldean Fates Pokemon Cards,Houndstone #168,$2.00
Prices for Pokemon Paldean Fates Pokemon Cards,Naclstack #177,$2.04
Prices for Pokemon Paldean Fates Pokemon Cards,Rellor #108,$1.90
Prices for Pokemon Paldean Fates Pokemon Cards,Shroodle #189,$2.00
Prices for Pokemon Paldean Fates Pokemon Cards,Raichu [Reverse Holo] #19,$0.67
Prices for Pokemon Paldean Fates Pokemon Cards,Mimikyu [Reverse Holo] #37,$1.07
Prices for Pokemon Paldean Fates Pokemon Cards,Magmortar [Holo] #10,$0.15
Prices for Pokemon Paldean Fates Pokemon Cards,Cyclizar #70,$0.10
Prices for Pokemon Paldean Fates Pokemon Cards,Flittle #164,$2.16
Prices for Pokemon Paldean Fates Pokemon Cards,Charmeleon [Reverse Holo] #8,$0.20
Prices for Pokemon Paldean Fates Pokemon Cards,Nacli #176,$2.00
Prices for Pokemon Paldean Fates Pokemon Cards,Glimmet #179,$2.16
Prices for Pokemon Paldean Fates Pokemon Cards,Professor's Research #87,$0.24
Prices for Pokemon Paldean Fates Pokemon Cards,Mabosstiff #63,$0.13
Prices for Pokemon Paldean Fates Pokemon Cards,Haunter #56,$0.40
Prices for Pokemon Paldean Fates Pokemon Cards,Veluza #125,$2.14
Prices for Pokemon Paldean Fates Pokemon Cards,Houndstone #43,$0.08
Prices for Pokemon Paldean Fates Pokemon Cards,Heat Rotom #13,$0.23
Prices for Pokemon Paldean Fates Pokemon Cards,Gholdengo [Reverse Holo] #67,$0.14
Prices for Pokemon Paldean Fates Pokemon Cards,Professor's Research #88,$0.15
Prices for Pokemon Paldean Fates Pokemon Cards,Annihilape #47,$0.14
Prices for Pokemon Paldean Fates Pokemon Cards,Magmortar #10,$0.26
Prices for Pokemon Paldean Fates Pokemon Cards,Lapras [Reverse Holo] #16,$0.27
Prices for Pokemon Paldean Fates Pokemon Cards,Tech Sticker Collection: Maschiff,$42.65
Prices for Pokemon Paldean Fates Pokemon Cards,Tech Sticker Collection: Greavard,$40.85
Prices for Pokemon Paldean Fates Pokemon Cards,Kirlia #28,$0.12
Prices for Pokemon Paldean Fates Pokemon Cards,Iono #80,$0.72
Prices for Pokemon Paldean Fates Pokemon Cards,Revavroom #65,$0.09
Prices for Pokemon Paldean Fates Pokemon Cards,Gastly #55,$0.30
Prices for Pokemon Paldean Fates Pokemon Cards,Sealed Great Tusk Ex Tin,$78.50
Prices for Pokemon Paldean Fates Pokemon Cards,Maushold #74,$0.25
Prices for Pokemon Paldean Fates Pokemon Cards,Sealed Iron Treads Ex Tin,$70.25
Prices for Pokemon Paldean Fates Pokemon Cards,Haunter [Reverse Holo] #56,$0.82
Prices for Pokemon Paldean Fates Pokemon Cards,Lapras #16,$0.09
Prices for Pokemon Paldean Fates Pokemon Cards,Mini Tin: Maushold,$50.00
Prices for Pokemon Paldean Fates Pokemon Cards,Magmar #9,$0.10
Prices for Pokemon Paldean Fates Pokemon Cards,Nemona #82,$0.05
Prices for Pokemon Paldean Fates Pokemon Cards,Armarouge [Reverse Holo] #15,$0.30
Prices for Pokemon Paldean Fates Pokemon Cards,Paldean Wooper #58,$0.21
Prices for Pokemon Paldean Fates Pokemon Cards,Dedenne #36,$0.45
Prices for Pokemon Paldean Fates Pokemon Cards,Magmortar [Reverse Holo] #10,$0.14
Prices for Pokemon Paldean Fates Pokemon Cards,Exeggutor [Reverse Holo] #24,$0.44
Prices for Pokemon Paldean Fates Pokemon Cards,Pineco [Reverse Holo] #1,$0.10
Prices for Pokemon Paldean Fates Pokemon Cards,Tandemaus #73,$0.27
Prices for Pokemon Paldean Fates Pokemon Cards,Mime Jr #31,$0.15
Prices for Pokemon Paldean Fates Pokemon Cards,Ceruledge [Reverse Holo] #40,$0.48
Prices for Pokemon Paldean Fates Pokemon Cards,Gastly [Reverse Holo] #55,$0.36
Prices for Pokemon Paldean Fates Pokemon Cards,Kilowattrel #22,$0.05
Prices for Pokemon Paldean Fates Pokemon Cards,Grapploct #52,$0.10
Prices for Pokemon Paldean Fates Pokemon Cards,Maractus #3,$0.21
Prices for Pokemon Paldean Fates Pokemon Cards,Chinchou #20,$0.07
Prices for Pokemon Paldean Fates Pokemon Cards,Dachsbun #39,$0.24
Prices for Pokemon Paldean Fates Pokemon Cards,Charcadet #14,$0.11
Prices for Pokemon Paldean Fates Pokemon Cards,Ultra Ball #91,$0.20
Prices for Pokemon Paldean Fates Pokemon Cards,Chimecho #30,$0.08
Prices for Pokemon Paldean Fates Pokemon Cards,Fidough #38,$0.13
Prices for Pokemon Paldean Fates Pokemon Cards,Donphan #49,$0.08
Prices for Pokemon Paldean Fates Pokemon Cards,Cyclizar [Reverse Holo] #70,$0.10
Prices for Pokemon Paldean Fates Pokemon Cards,Xatu [Reverse Holo] #26,$0.21
Prices for Pokemon Paldean Fates Pokemon Cards,Ralts [Reverse Holo] #27,$0.16
Prices for Pokemon Paldean Fates Pokemon Cards,Oinkologne #72,$0.08
Prices for Pokemon Paldean Fates Pokemon Cards,Pineco #1,$0.05
Prices for Pokemon Paldean Fates Pokemon Cards,Exeggcute [Reverse Holo] #23,$0.20
Prices for Pokemon Paldean Fates Pokemon Cards,Nest Ball #84,$0.30
Prices for Pokemon Paldean Fates Pokemon Cards,Heat Rotom [Reverse Holo] #13,$0.35
Prices for Pokemon Paldean Fates Pokemon Cards,Scraggy #60,$0.09
Prices for Pokemon Paldean Fates Pokemon Cards,Annihilape [Reverse Holo] #47,$0.29
Prices for Pokemon Paldean Fates Pokemon Cards,Lanturn #21,$0.09
Prices for Pokemon Paldean Fates Pokemon Cards,Revavroom [Reverse Holo] #65,$0.20
Prices for Pokemon Paldean Fates Pokemon Cards,Paldean Student [Reverse Holo] #85,$0.11
Prices for Pokemon Paldean Fates Pokemon Cards,Mini Tin: Tinkatink,$41.71
Prices for Pokemon Paldean Fates Pokemon Cards,Maschiff #62,$0.09
Prices for Pokemon Paldean Fates Pokemon Cards,Noibat #68,$0.09
Prices for Pokemon Paldean Fates Pokemon Cards,Gimmighoul [Reverse Holo] #44,$0.13
Prices for Pokemon Paldean Fates Pokemon Cards,Oinkologne [Reverse Holo] #72,$0.19
Prices for Pokemon Paldean Fates Pokemon Cards,Clive [Reverse Holo] #78,$0.14
Prices for Pokemon Paldean Fates Pokemon Cards,Paldean Student #86,$0.05
Prices for Pokemon Paldean Fates Pokemon Cards,Rare Candy #89,$0.23
Prices for Pokemon Paldean Fates Pokemon Cards,Mini Tin: Finizen,$36.00
Prices for Pokemon Paldean Fates Pokemon Cards,Maractus [Reverse Holo] #3,$0.25
Prices for Pokemon Paldean Fates Pokemon Cards,Moonlit Hill #81,$0.20
Prices for Pokemon Paldean Fates Pokemon Cards,Professor's Research [Reverse Holo] #87,$0.23
Prices for Pokemon Paldean Fates Pokemon Cards,Charcadet [Reverse Holo] #14,$0.15
Prices for Pokemon Paldean Fates Pokemon Cards,Lanturn [Reverse Holo] #21,$0.19
Prices for Pokemon Paldean Fates Pokemon Cards,Mankey [Reverse Holo] #45,$0.25
Prices for Pokemon Paldean Fates Pokemon Cards,Ultra Ball [Reverse Holo] #91,$0.56
Prices for Pokemon Paldean Fates Pokemon Cards,Camerupt #12,$0.10
Prices for Pokemon Paldean Fates Pokemon Cards,Paldean Wooper [Reverse Holo] #58,$0.40
Prices for Pokemon Paldean Fates Pokemon Cards,Maushold [Reverse Holo] #74,$0.90
Prices for Pokemon Paldean Fates Pokemon Cards,Frigibax #17,$0.23
Prices for Pokemon Paldean Fates Pokemon Cards,Frigibax [Reverse Holo] #17,$0.23
Prices for Pokemon Paldean Fates Pokemon Cards,Greavard #42,$0.07
Prices for Pokemon Paldean Fates Pokemon Cards,Gimmighoul #44,$0.04
Prices for Pokemon Paldean Fates Pokemon Cards,Primeape #46,$0.08
Prices for Pokemon Paldean Fates Pokemon Cards,Phanpy #48,$0.10
Prices for Pokemon Paldean Fates Pokemon Cards,Noibat [Reverse Holo] #68,$0.20
Prices for Pokemon Paldean Fates Pokemon Cards,Atticus #77,$0.19
Prices for Pokemon Paldean Fates Pokemon Cards,Moonlit Hill [Reverse Holo] #81,$0.15
Prices for Pokemon Paldean Fates Pokemon Cards,Technical Machine: Crisis Punch [Reverse Holo] #90,$0.16
Prices for Pokemon Paldean Fates Pokemon Cards,Mini Tin: Smoliv,$39.45
Prices for Pokemon Paldean Fates Pokemon Cards,Cottonee [Reverse Holo] #34,$0.19
Prices for Pokemon Paldean Fates Pokemon Cards,Whimsicott [Reverse Holo] #35,$0.13
Prices for Pokemon Paldean Fates Pokemon Cards,Maschiff [Costco Cosmos Holo] #62,$2.95
Prices for Pokemon Paldean Fates Pokemon Cards,Varoom #64,$0.06
Prices for Pokemon Paldean Fates Pokemon Cards,Toedscool [Reverse Holo] #4,$0.08
Prices for Pokemon Paldean Fates Pokemon Cards,Fidough [Reverse Holo] #38,$0.45
Prices for Pokemon Paldean Fates Pokemon Cards,Flittle [Reverse Holo] #41,$0.12
Prices for Pokemon Paldean Fates Pokemon Cards,Artazon [Reverse Holo] #76,$0.20
Prices for Pokemon Paldean Fates Pokemon Cards,Technical Machine: Crisis Punch #90,$0.11
Prices for Pokemon Paldean Fates Pokemon Cards,Kirlia [Reverse Holo] #28,$0.36
Prices for Pokemon Paldean Fates Pokemon Cards,Primeape [Reverse Holo] #46,$0.23
Prices for Pokemon Paldean Fates Pokemon Cards,Grapploct [Reverse Holo] #52,$0.12
Prices for Pokemon Paldean Fates Pokemon Cards,Scrafty #61,$0.10
Prices for Pokemon Paldean Fates Pokemon Cards,Magmar [Reverse Holo] #9,$0.28
Prices for Pokemon Paldean Fates Pokemon Cards,Woobat #32,$0.05
Prices for Pokemon Paldean Fates Pokemon Cards,Swoobat [Reverse Holo] #33,$0.13
Prices for Pokemon Paldean Fates Pokemon Cards,Dachsbun [Reverse Holo] #39,$0.30
Prices for Pokemon Paldean Fates Pokemon Cards,Greavard [Reverse Holo] #42,$0.57
Prices for Pokemon Paldean Fates Pokemon Cards,Barboach #50,$0.10
Prices for Pokemon Paldean Fates Pokemon Cards,Palafin [Cosmos Holo] #62,$0.50
